,track_id,track_name,artist_id,artist_name,album_id,duration,popularity,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_mins
495,1yTLac7KPcaHVVVmAFJgIO,Beat Box 2,3Y2MLcrD3ZQXRXmtn4fZQx,SpotemGottem,5OkgmWXOCc2JDwlJdbr86q,181087,29,0.8079999999999999,0.313,1,-7.992000000000001,0.245,0.1159999999999999,0.0,0.0991,0.2769999999999999,159.951,3.018116666666667
496,0fvnpbhq17UlrhMmLfGkfe,Whatchu Do,4uyIwcaJgV9ShErevnVlNp,10k.Caash,6iKn0w20trciyUkDjMhmDg,104640,40,0.885,0.198,8,-15.026,0.552,0.013,0.0339,0.138,0.2269999999999999,140.131,1.744
497,1U7XGMM5rLsVozRKiu894B,Fucc Valentines,2SXdDtsmvodT4VsmNwAz3b,Honcho Moonk,3uQif01qMnwg4AUjjuVmzn,207203,51,0.76,0.539,2,-10.895,0.325,0.00817,0.0,0.284,0.588,140.105,3.453383333333333
501,0V4l4GQhgnWQGtCWpvA7va,Crew Love,3TVXtAsR1Inumwj472S9r4,Drake,6X1x82kppWZmDzlXXK3y3q,208813,69,0.418,0.546,0,-9.057,0.238,0.2269999999999999,0.0,0.2289999999999999,0.294,160.15200000000002,3.4802166666666667
502,7srEG9v7czAVq8kUzoHVGG,I’m Single,3fyhhXHbGVLuSHFk2SYx4I,Popp Hunna,1VTH6KQI0hUAu3KelTcHBa,150292,39,0.887,0.601,11,-6.647,0.278,0.0209,0.0,0.076,0.519,77.533,2.5048666666666666
503,3kS3AOajZlXtoToQ1Y4rPL,3 Times In A Row,0BuvqDNQaCHcKJLCbK0M3P,TK N Cash,7dr1GTYgPXdK6iOTY1qHtb,194510,46,0.745,0.5670000000000001,7,-6.928,0.291,0.0861,0.0,0.118,0.89,160.119,3.241833333333333
504,2mmS3Rt0SGEVB055Qebgwq,Did You Know?,6FUA3zogfu84X8xhdQM5Rc,Luh Baam,2dEi53GFBjWhVUvxcOdnQS,122067,22,0.794,0.335,0,-12.675999999999998,0.526,0.5579999999999999,0.0,0.146,0.636,88.309,2.03445
505,14PR0pjBtKExCbUILkfohl,Jumpman 4's,1iJdyDcY98X3GMnUesl7tf,Comethazine,2m9IiD2KjieBNLXhHcOWX6,84227,60,0.805,0.518,2,-6.436,0.233,0.0244,0.0,0.356,0.742,80.13600000000001,1.4037833333333334
506,0anUgBvnA4u5LsHUeLRprc,Tic Tac,1RyvyyTE3xzB2ZywiAwp0i,Future,3aITAVBURujVe8fhI2seeR,189147,67,0.942,0.5660000000000001,11,-4.834,0.226,0.0773,0.0,0.11,0.479,132.858,3.15245
509,1OrQrfK32wHeBemMY5Heob,Ptpom,79Sxz4bJeibdabevi9PAVi,Mohead Mike,1Yw4ehNitPnP300AM4nXor,120084,35,0.846,0.36,2,-12.428,0.475,0.053,4.41e-06,0.245,0.349,160.173,2.0014
510,1eUGmzzvahJjOSWgDHuRlv,Girl With The Tattoo Enter.lewd,360IAlyVv4PCEVjgyMZrxK,Miguel,493HYe7N5pleudEZRyhE7R,102813,72,0.372,0.239,6,-11.314,0.0296,0.856,0.000175,0.168,0.127,113.451,1.71355
511,03tqyYWC9Um2ZqU0ZN849H,No Hands (feat. Roscoe Dash & Wale),6f4XkbvYlXMH0QgVRzW0sM,Waka Flocka Flame,6MQtWELG7aRX7CkAzQ6nLM,263773,76,0.76,0.595,1,-6.3660000000000005,0.0391,0.0054399999999999,0.0,0.241,0.361,131.497,4.396216666666667
513,4QKmNtEulgeSINW047sYKK,Fuck It Up!,761TVEWipkW4DkdWHNZ9w9,Ocho Drippin,6f5mTYPogpzl6JH05SEapC,163422,52,0.96,0.579,0,-8.214,0.292,0.0139999999999999,4.41e-06,0.0459,0.7759999999999999,121.979,2.7237
